name,cause of death,born,died,comments
Frank Thornton (actor),,"January 15, 1921","March 16, 2013","Captain Stephen Peacock on Are You Being Served?, was active in British TV in his 80s.  Home Page  twitter  IMDb  Obituary"
Rick Hautala (writer),Heart attack. ,"February 3, 1949","March 21, 2013","Wrote the bestselling Night Stone and the award-winning Bedbugs. The ""other"" horror writer from Maine. How to help Rick's family  Home Page  twitter  IMDb  Obituary"
Derek Watkins (trumpeter),,"March 2, 1945","March 26, 2013","British trumpeter who played for many movie scores, notably every James Bond film from Dr. No through Skyfall.  twitter  IMDb  Obituary"
Fay Kanin (writer/producer),,"May 9, 1917","March 27, 2013","Co-writer of Teacher's Pet, won an Emmy for producing Friendly Fire.  twitter  IMDb  Obituary"
Richard Griffiths (actor),,"July 31, 1947","March 28, 2013","Many movies and much theater, probably best-known as Uncle Vernon in the Harry Potter movies.  twitter  IBDB  IMDb  Obituary"
Milo O'Shea (actor),,"June 2, 1926","April 2, 2013","Starred as Leopold Bloom in Ulysses and Friar Lawrence in Romeo and Juliet, many bit parts on TV from the '60s through the '90s, including The Golden Girls and The West Wing.  twitter  IBDB  IMDb  Obituary"
Ruth Prawer Jhabvala (classy writer),,"May 7, 1927","April 3, 2013","The German writer for Merchant Ivory Productions, she won two Oscars (for A Room With a View and Howards End) and a Booker (for Heat and Dust) and is a former MacArthur Foundation Fellow.  Home Page  twitter  IMDb  Obituary"
Roger Ebert (critic),Cancer. ,"June 18, 1942","April 4, 2013","With longtime movie debator Gene Siskel, invented the tagline ""Two Thumbs Up,"" voiceless but eloquent online, born on the same day as Sir Paul McCartney, wrote a great rumination on life and death published in 2009.  Home Page  twitter  IMDb  Obituary"
Annette Funicello (actress),Multiple sclerosis. ,"October 22, 1942","April 8, 2013","An early Mouseketeer, she starred in many Beach movies in the '60s.  twitter  IMDb  Obituary"
Lady Margaret Thatcher (first female Prime Minister of the UK),[rumors] Stroke. ,"October 13, 1925","April 8, 2013","Prime Minister and great ally of Ronald Regan, often called ""The Iron Lady,"" wrote Collected Speeches of Margaret Thatcher.  Home Page.  twitter  IMDb  Obituary"
Robert Edwards (physiologist),,"September 27, 1925","April 10, 2013",Developed in vitro fertilization with Patrick Steptoe and they successfully impregnated Lesley Brown with the first test tube baby.  twitter  Obituary
Jonathan Winters (comedian/actor),,"November 11, 1925","April 11, 2013","Comic and improvisational genius, It's a Mad Mad Mad Mad World, played Maude Frickert, performed Papa Smurf in smurfy movies, major influence on Robin Williams (and later played Mork's son, Merth), The Unknown Jonathan Winters - On the Loose.  Home Page  twitter  IMDb  Obituary"
Frank Bank (actor),,"April 12, 1942","April 13, 2013",Lumpy on Leave It to Beaver  twitter  IMDb  Obituary
Allan Arbus (actor/photographer),,"February 15, 1918","April 18, 2013","Maj. Sidney Freedman, the psychiatrist on M*A*S*H, married to Diane Arbus and worked with her in New York advertising in the '50s.  twitter  IBDB  IMDb  Home Page"
E. L. Konigsburg (writer),Complications of a stroke. ,"February 10, 1930","April 20, 2013","Writer who understood generations of kids. Won the Newbery Award for From the Mixed-Up Files of Mrs. Basil E. Frankweiler and, again for The View from Saturday twenty-nine years later, graduated from Carnegie Mellon with a chemistry degree.  twitter  IMDb  Obituary"
Richie Havens (singer/guitarist),Heart attack. ,"January 21, 1941","April 22, 2013","""Freedom"" and ""Motherless Child,"" his Woodstock opening act which ran for three hours, wrote commercial jingles like ""The Fabric of Our Lives"" for cotton.  Home Page  twitter  IMDb  Obituary"
Virginia Gibson (actress/dancer),,"April 9, 1925","April 25, 2013","Seven Brides for Seven Brothers, co-host of the '60s kid's science show Discovery with Frank Buxton.  twitter  IBDB  IMDb  Obituary"
Deanna Durbin (singer),,"December 4, 1921","April 27, 2013","A magnificently-voiced teenager who retired young, married to director Charles David for nearly 50 years.  twitter  IMDb  Obituary"
andrew j. offutt (writer),,"August 16, 1934","April 30, 2013","Sword and Sorcery writer who wrote a number of Conan novels, but made most of his living by selling porn under many pseudonyms.  Home Page  twitter  Obituary"
Ray Harryhausen (special effects wizard),,"June 29, 1920","May 7, 2013",He revitalized stop-motion photography in memorable movies like Jason and the Argonauts and The Seventh Voyage of Sinbad.  Home Page  twitter  IMDb  Obituary  Remembrance  Remembrance
Dr. Joyce Brothers (writer/therapist/game show winner),,"October 20, 1927","May 5, 2013","Popular talk show guest on psychology who got her start by winning the The $64,000 Question in the '50s.  Home Page  twitter  IMDb  Obituary"
Jack Vance (writer),,"August 28, 1916","May 26, 2013",Wrote SF and mysteries and a charming autobiography.  Home Page  twitter  IMDb  Obituary
Father Andrew Greeley (Priest/professor/writer),,"February 5, 1928","May 29, 2013","Sociology professor, writer of fiction (Cardinal Sins), non-fiction (Unsecular Man) and many newspaper columns..  Home Page  twitter  Obituary"
Jean Stapleton (actress),,"January 19, 1923","May 31, 2013","Best-known as Edith Bunker, played Birdie in You've Got Mail.  twitter  IBDB  IMDb  Obituary"
"Frank Lautenberg (senator, businessman)",Pneumonia. ,"January 23, 1924","June 3, 2013","A founder of ADP, he was the last member of the Senate who was a veteran of World War II, he pushed for the drinking age to be 21 nationally.  twitter  IMDb  Obituary"
Esther Williams (actress/swimmer),,"August 8, 1923","June 6, 2013","The swimmer turned star in movies like Neptune's Daughter, married to Fernando Lamas in the '70s, wrote her autobiography, Million Dollar Mermaid, step-mother of Lorenzo Lamas.  twitter  IMDb  Obituary"
Iain Banks (writer),Cancer. ,"February 16, 1954","June 9, 2013","The Wasp Factory, The Crow Road, the Culture series, and many other books, one of the great British writers of late 20th, early 21st centuries, was due to be the Guest of Honor at the 2014 World Science Fiction Convention.  Home Page  twitter  IMDb  Obituary"
Bernard Sahlins (theater manager),,circa 1922,"June 16, 2013",Founded and managed the original Second City which developed talented comics and became something of a training ground for Saturday Night Live.  twitter  IBDB  IMDb  Obituary
James Gandolfini (actor),,"September 16, 1961","June 19, 2013","Bit part player who shot to stardom as Tony Soprano in 1999, died while on vacation in Italy.  twitter  IBDB  IMDb  Obituary"
Slim Whitman (country singer),,"January 20, 1924","June 19, 2013","Guitarist and yodler known for ""Indian Love Call,"" discovered by Colonel Tom Parker, generally better-known in Europe than America, but made a ubiquitous American commercial for his records in 1979 which made him more popular in the US.  Home Page  twitter  IMDb  Obituary"
Gary David Goldberg (producer/writer),Brain cancer. ,"June 25, 1944","June 23, 2013","Created Family Ties, Brooklyn Bridge and Spin City, may have created the first funny closing card with ""Sit, Ubu, it.""  twitter  IMDb  Obituary"
Richard Matheson (writer),,"February 20, 1926 ","June 23, 2013","Wrote books like Bid Time Return (later filmed as Somewhere In Time) and the famous Twilight Zone episode ""Nightmare at 20,000 Feet.""  Home Page  twitter  IMDb  Obituary"
Douglas Engelbart (engineer),Kidney disease. ,"January 25, 1925","July 2, 2013","He presented the famous ""mother of all demos"" in 1968 where he demonstrated a number of his ideas, including the mouse, multiple computer windows, hypertext and teleconferencing, later won the Turing prize.  Home Page  twitter  IMDb  Obituary"
Amar Bose (sound engineer/entreprenuer),,"November 2, 1929","July 12, 2013",Developer of advanced acoustic systems for halls and for home systems.  Home Page  twitter  Obituary
Elaine Morgan (Writer),,"November 7, 1920","July 12, 2013",TV writer who became interested in science and anthropology and wrote The Aquatic Ape.  Home Page  twitter  IMDb  Obituary
Cory Monteith (actor),Drug overdose. ,"May 11, 1982","July 13, 2013","Tall star of Glee, in and out of rehab since he was 19.  twitter  IMDb  Obituary"
Mel Smith (comic),Heart attack. ,"December 3, 1952","July 19, 2013","Part of the British comedy team Smith and Jones, he played the memorable albino in The Princess Bride.  twitter  IMDb  Obituary"
Helen Thomas (journalist),,"August 4, 1920","July 20, 2013","Feisty White House correspondent for UPI and the Hearst papers for many years, one of the first female White House reporters, covered presidents from Eisenhower until Obama.  Home Page  twitter  IMDb  Obituary"
Dennis Farina (actor/police officer),Pulmonary embolism. ,"February 29, 1944","July 22, 2013","Played many bit parts while an active officer, later became a star of Law and Order.  Home Page  twitter  IMDb  Obituary"
Ali Maow Maalin (polio erradication worker),Virus. ,circa 1954,"July 22, 2013","The last known person to have smallpox, he worked on vaccinating people to erradicate polio in Africa.  twitter  Obituary"
Virginia Johnson (sex researcher/psychologist),,"February 11, 1925","July 24, 2013","Masters and Johnson, one of the writers of Human Sexual Response.  twitter  Obituary"
Eileen Brennan (actress),,"September 3, 1932","July 28, 2013","The Sting, Private Benjamin, survived a terrible car accident in the early '80s.  twitter  IMDb  Obituary"
Michael Ansara (actor),,"April 28, 1922","July 31, 2013","Bit parts in many movies and TV shows, may be most memorable as a Star Trek Klingon, once married to Barbara Eden.  twitter  IMDb  Obituary"
John Palmer (TV news reporter),,"September 10, 1935","August 3, 2013","Reported the news for on NBC for nearly 40 years, news anchor on the Today Show during the '80s.  twitter  IMDb  Obituary"
Karen Black (actress),Cancer. ,"July 1, 1939","August 8, 2013","Five Easy Pieces, Nashville, Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean  twitter  IBDB  IMDb  Obituary"
Elizabeth Peters (mystery writer),,"September 29, 1927","August 8, 2013","Mystery writer who also wrote as Barbara Michaels, real name was Barbara Mertz who studied Egyptology in college and wrote books about Egypt.  Home Page  twitter>  Obituary"
Eydie Gormé (singer/actress),,"August 16, 1928","August 10, 2013","Mostly sang with her husband, Steve Lawrence, Best of Steve and Eydie, had a solo hit with ""Blame It on the Bossa Nova,"" won a Grammy for ""If He Walked Into My Life,"" of Spanish & Turkish descent.  Home Page  twitter  IMDb  Obituary"
Lisa Robin Kelly (actress),,"March 5, 1970","August 14, 2013","Best known as the original Laurie on That 70s Show, she was on other comedies and suffered from addictions to drugs and alcohol.  twitter  IMDb  Obituary"
Elmore Leonard (writer),Stroke. ,"October 11, 1925","August 20, 2013","Wrote Get Shorty, Out of Sight, Rum Punch and a number of other best-selling books.  Home Page  twitter  IMDb  Obituary"
"Marian McPartland (pianist, composer)",,"March 21, 1918","August 20, 2013",Well-respected pianist and long-time host of NPR's Piano Jazz.  twitter  IMDb  Obituary
Julie Harris (actress),Congestive heart failure. ,"December 2, 1925","August 24, 2013","Member of the Wedding (playing a 12-year-old at 27), East of Eden, received 10 Tony nominations (won 5), voiced Mary Chestnut for Ken Burn's Civil War documentary.  twitter  IBDB  IMDb  Obituary  FindAGrave"
David Frost (interviewer/writer),Heart attack. ,"April 7, 1939","August 31, 2013","Interviewer probably best-known for his in-depth interviews with Richard Nixon, he worked with John Cleese on That Was the Week That Was.  Home Page  twitter  IMDb  Obituary"
Fred Pohl (writer/editor),,"November 26, 1919","September 2, 2013","Author of Man Plus and Gateway, co-author of the classic The Space Merchants, major editor in the '60s, '70s and '80s.  Home Page  twitter  IMDb  Obituary"
Ann C. Crispin (writer),Cancer. ,"April 5, 1950","September 6, 2013","Wrote the Star Trek tie-in books Yesterday's Son and Sarek, a prequel novel to The Pirates of the Carribean series, and she co-created Writer Beware, a site that helped writers avoid scams  Home Page  twitter  Obituary"
Tom Clancy (bestselling author),,"April 12, 1947","October 1, 2013","Wrote Hunt for Red October, Patriot Games and other technothrillers, part owner of the Baltimore Orioles.  Home Page  twitter  IMDb  Obituary"
Scott Carpenter (Mercury astronaut),Stroke. ,"May 1, 1925","October 10, 2013", Home Page  twitter  IMDb
Noel Harrison (actor),Heart attack. ,"January 26, 1934","October 22, 2013","Good-looking son of Rex Harrison, did some TV (The Girl from U.N.C.L.E.) in the '60s, sang ""Windmills of Your Mind,"" was also a ski champ.  twitter  IMDb  Obituary"
Marcia Wallace (actress),Breast cancer. ,"November 1, 1942","October 25, 2013","Carol on The Bob Newhart Show, Miss Krabappel on The Simpsons.  twitter  IMDb  Obituary"
Lou Reed (singer),Six months after a liver transplant. ,"March 2, 1942","October 27, 2013","Member of the Velvet Underground, may be best known for the classic ""Take a Walk on the Wild Side,"" married to Laurie Anderson.  Home Page  twitter  IMDb  Obituary"
Doris Lessing (author),,"October 22, 1919","November 16, 2013","The Golden Notebook, in 2007 was the oldest Nobel Prize winner.  Home Page  Home Page  twitter  IMDb  Obituary"
Jane Kean (actress),,"April 10, 1924","November 26, 2013",Second actress to play Trixie in The Honeymooners  twitter  IBDB  IMDb  Obituary
Tony Musante (actor),Post-surgical hemorrhage. ,"June 30, 1936","November 26, 2013","Starred in Toma, appeared in the first season of Oz.  Home Page  twitter  IBDB  IMDb  Obituary"
Paul Walker (actor),"Ironically, in a high-speed car crash. ","September 12, 1973","November 30, 2013","Starred in five of the first six Fast and Furious movies, killed during a break from filming the seventh.  Home Page  twitter  IMDb  Obituary"
Nelson Mandela (politician/activist),Lung disease. ,"July 18, 1918","December 5, 2013","For many years, the world's most famous political prisoner, later elected as the first black president of South Africa after the fall of apartheid and won a Nobel Peace Prize. ""Grandfather of the World."" There are very individuals who changed history by themselves - Mandela was one of them.  Home Page  twitter  IMDb  Obituary"
Eleanor Parker (actress),Pnemonia. ,"June 26, 1922","December 9, 2013",Elegant American actress who played The Countess in The Sound of Music.  twitter  IMDb  Obituary
Tom Laughlin (actor/writer),,"August 10, 1931","December 12, 2013","Created and starred an early vigilante series, Billy Jack, ran for president. Make memorial contributions to Friends of the Pine Ridge Reservation  Home Page  twitter  IMDb  Obituary"
Peter O'Toole (actor),,"August 2, 1932","December 14, 2013","Extremely talented actor in Lawrence of Arabia, Becket, A Lion in Winter, My Favorite Year, awarded an honorary Oscar in 2003, married to Sian Phillips for 20 years.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Joan Fontaine (actress),,"October 22, 1917","December 15, 2013","Rebecca and Suspicion, sister of Olivia De Havilland.  twitter  IBDB  IMDb  Obituary"
Ray Price (singer),,"January 12, 1926","December 16, 2013","""For the Good Times,"" longtime country singer, rumored dead the day before he died.  Home Page  twitter  IMDb  Obituary"
James Avery (actor),Complications after heart surgery. ,"November 27, 1945","December 31, 2013",Uncle Phil in Fresh Prince of Bel-Air.  Home Page  twitter  IMDb  Obituary  FindAGrave
Bob Anderson (swordmaster),,"September 15, 1922","January 1, 2012","Choreographed sword fights and trained actors for The Princess Bride, The Lord of the Rings and the Star Wars movies as well as the Highlander series.  IMDb  Obituary  FindAGrave"
Jenny Tomasin (actress),Hypertensive heart disease. ,"November 30, 1936","January 3, 2012","Ruby on Upstairs/Downstairs, also appeared on Dr. Who and Emmerdale.  IMDb  Obituary  FindAGrave"
Eve Arnold (phtographer),,"April 21, 1912","January 4, 2012","Photographer known for shooting the famous (Marilyn Monroe, Marlena Dietrich) and the unknown (starving children).  IMDb  Obituary  FindAGrave"
Roger Boisjoly (engineer/ethics lecturer),Cancer ,"April 25, 1938","January 6, 2012","A Morton Thiokol engineer who argued against launching the Challenger in January 1986 as he believed the O-rings would fail due to the cold. He was overruled. Despite the fact he was right, NASA made it hard for him to work in the industry after he resigned from Morton Thiokol (now ATK Space Systems). Received the AAAS Scientific Freedom and Responsibility Award in 1988.  twitter  IMDb  Obituary"
Jerome Rubin (futurist/lawyer),Stroke ,"March 9, 1925","January 9, 2012",A lawyer who helped develop an early commercial database (Lexis/Nexis) and predicted eBooks.  twitter  Obituary
Mary Raftery (journalist),,1957,"January 10, 2012",Irish journalist who produced documentaries on child sexual abuse by the Catholic Church (States of Fear)  Home Page  twitter  IMDb  Obituary
Richard Threlkeld (journalist),Car accident. ,"November 30, 1937","January 13, 2012","Journalist who alternated between working at CBS and ABC, one of the last journalists out of Saigon in 1975.  twitter  IMDb  Obituary  FindAGrave"
Etta James (singer),Leukemia. ,"January 25, 1938","January 20, 2012","Jazz singer, best known for the classic ""At Last.""  twitter  IMDb  Obituary  FindAGrave"
Dick Tufeld (voice),,"December 11, 1926","January 22, 2012","Famous line: ""Danger, danger Will Robinson!"" Lost in Space, heard on other Irwin Allen shows, died 3 years after the robot driver Bob May.  twitter  IMDb  Obituary"
Bingham Ray (movie company manager),Stroke ,circa 1954,"January 23, 2012","Suffered a stroke while attending the Sundance Film Festival, co-founder of October Films, president of United Artists.  twitter  IMDb  Obituary"
James Farentino (actor),Heart failure. ,"February 24, 1938","January 24, 2012","On many TV series since the '60s, including Dynasty and a stint as Doug Ross's father on ER, divorced from Michele Lee.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Robert Hegyes (actor),Heart attack. ,"May 7, 1951","January 26, 2012","Epstein on Welcome Back Kotter, Cagney and Lacey, died about 7 months before fellow Kotter alum Ron Palillo.  Home Page  twitter  IMDb  Obituary  FindAGrave"
John Rich (TV director),,"July 6, 1925","January 29, 2012","Directed many episodes of The Dick Van Dyke Show and All in the Family (including the famous Sammy Davis, Jr. episode)  IMDb  Obituary  FindAGrave"
Damien Bona (writer),Heart attack. ,"March 18, 1955","January 29, 2012",Co-wrote Inside Oscar.  twitter  Obituary
Don Cornelius (producer/host),Suicide-gunshot. ,"September 27, 1936","February 1, 2012",The man who brought you Soul Train.  twitter  IMDb  Obituary  FindAGrave
Nello Ferrara (candy company director/lawyer),,circa 1918,"February 3, 2012",Studied law but went to work at his father's company (Ferrara Pan Candy) and invented Lemonhead and Atomic FireBall candies.  twitter  Obituary
Ben Gazzara (actor),Pancreatic cancer. ,"August 28, 1930","February 3, 2012",Run for Your Life and more movies than you'd imagine.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave
Peter Breck (actor),Dementia ,"March 13, 1929","February 6, 2012","The TV series Maverick and The Big Valley, loads of '60s and '70s TV guest spots.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Patricia Stephens Due (civil rights leader),Thyroid cancer. ,"December 9, 1939","February 7, 2012","An organizer for civil rights in the South in the '60s, she later wrote an award-winning book (Freedom in the Family: A Mother-Daughter Memoir of the Fight for Civil Rights) on her experiences with her daughter Tananarive Due.  twitter  Obituary"
Jill Kinmont Boothe (educator/skier),,February 16 1936,"February 9, 2012",Skier on a track for the Olympics before she became paralyzed in an accident; inspired two movies (The Other Side of the Mountain) based on her accident and rehabilitation.  Home Page  twitter  IMDb  Obituary  FindAGrave
Jeffrey Zaslow (writer),Car accident. ,"October 6, 1958","February 10, 2012","Advice columnist (All That Jazz) and journalist (Wall Street Journal) who became the co-writer of a number of memoirish-books, including Randy Pauch's The Last Lecture and Gabby Giffords and Mark Kelly's Gabby: A Story of Courage and Hope. Killed while on a book tour for The Magic Room.  Home Page  twitter  Obituary"
Whitney Houston (singer/actress),Rumor. Drowning/effects of atherosclerotic heart disease and cocaine use. ,"August 9, 1963","February 11, 2012","Very talented singer in the '80s and '90s. ""I Wanna Dance with Somebody Who Loves Me."" Too young to be listed here, she was included here for 10 years due to persistant rumors about her health, died at 48. Her only child, Bobbi Kristina Brown, died nearly 3 1/2 years after her mother in strangely similar circumstances  twitter  IMDb  Obituary  FindAGrave"
David Kelly (actor),,"July 11, 1929","February 12, 2012",The faux-Ned in Waking Ned Devine; not to be confused with the American TV producer.  IMDb  Obituary
Gregg Jevin (legend),Debatable - either drowned or sat on his pen. ,circa 1960,"February 23, 2012","An actor of mythic proportions, he was a Zelig-like performer who popped in and out of plays, TV shows and movies on whim.  twitter"
Jan Berenstain (cartoonist/writer),Stroke. ,"July 26, 1923","February 24, 2012","With her husband Stan, she wrote and illustrated over 200 Berenstain Bears books.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Davy Jones (singer/actor),Heart attack. ,"December 30, 1945","February 29, 2012","Former Monkee, raised horses.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Ralph McQuarrie (artist),Parkinson's disease. ,"June 13, 1929","March 3, 2012",Probably best-known for his conceptual art for Star Wars.  Home Page  twitter  IMDb  Obituary
Joan Taylor (actress/businesswoman),,"August 18, 1929","March 4, 2012","Earth vs. the Flying Saucers, 20 Million Miles to Earth, wrote the script for Fools Rush In and managed the syndication of Hawaii 5-0 for many years.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Robert B. Sherman (songwriter),,"December 19, 1925","March 5, 2012","With his brother Richard, he wrote iconic music for Disney (""It's a Small World After All"" and the score for Mary Poppins), one of the liberators of Dachau.  Home Page  twitter  IBDB  IMDb  Obituary"
Adrienne Rich (poet/essayist),Complications of rheumatoid arthritis ,"May 16, 1929","March 27, 2012",Won the National Book Award for Diving into the Wreck.  Home Page  twitter  IMDb  Obituary
Warren Stevens (actor),Lung disease. ,"November 2, 1919","March 27, 2012","Extremely busy TV actor during the '50s, '60s and '70s, he starred in Forbidden Planet as the ship's doctor.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Earl Scruggs (country musician),,"January 6, 1924","March 28, 2012",Flatt and Scruggs.  Home Page  twitter  IMDb  Obituary  FindAGrave
Thomas Kinkade (painter/businessman),Overdose of alcohol and Valium. ,"January 19, 1958","April 6, 2012","Turned ""painted lights"" in landscapes into a multi-million dollar business.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Mike Wallace (newscaster),,"May 9, 1918","April 7, 2012","60 Minutes, portrayed by Christopher Plummer in The Insider, worked until he was nearly 89.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Jonathan Frid (actor),,"December 2, 1924","(Friday) April 13, 2012","Most famous as Barnabas Collins in Dark Shadows, died just before the Depp DS remake came out (in which Frid had a cameo), played Jonathan Brewster in an '80s Broadway revival of Arsenic and Old Lace.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
"Dick Clark (host/producer/for a long time ""the world's oldest teenager"")",Heart attack. ,"November 30, 1929","April 18, 2012","Host of American Bandstand, The $10,000 Pyramid, and New Year's Rockin' Eve, continued working after suffering a severe stroke in 2004.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Levon Helm (drummer/actor),Throat cancer. ,"May 26, 1940","April 19, 2012","Played with The Band (""The Night They Drove Old Dixie Down"") and played Loretta Lynn's father in Coal Miner's Daughter  Home Page  twitter  IMDb  Obituary  FindAGrave"
Joel Goldsmith (composer),,"November 19, 1957","April 29, 2012",Wrote most of the music for the various Stargate TV series.  Home Page  twitter  IMDb  Obituary  FindAGrave
George Lindsey (actor),,"December 17, 1928","May 6, 2012","Longtime Hee-Haw regular, Goober Pyle on the Andy Griffith Show, fundraiser for the Alabama Special Olympics.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Maurice Sendak (writer),Stroke. ,"June 10, 1928","May 8, 2012","Great kids' book writer, Where the Wild Things Are.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Vidal Sassoon (hairstylist/businessman),,"January 17, 1928","May 9, 2012","The first celebrity hairstylist to globally market products, he gave Mia Farrow her memorable haircut for Rosemary's Baby.  twitter  IMDb  Obituary  FindAGrave"
Donna Summer (singer),Breast/lung cancer. ,"December 31, 1948","May 17, 2012","The Disco Queen, her hits included ""Love to Love Ya Baby (a short version and a 17 minute version),"" ""On the Radio"" and ""She Worked Hard for the Money.""  twitter  IBDB  IMDb  Obituary  FindAGrave"
Robin Gibb (singer/songwriter),Cancer. ,"December 22, 1949","May 20, 2012","Part of the Bee Gees (the thin one), Saturday Night Fever.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Leo Dillon (artist),,"March 2, 1933","May 26, 2012",Illustrated the Dangerous Visions collections and many children's books with his wife Diane.  Home Page  twitter  IMDb  Obituary
Dick Beals (voice),,"March 16, 1927","May 29, 2012","The original voice for Speedy Alka-Seltzer, Gumby and Davey (Davey & Goliath).  twitter  IMDb  Obituary"
Doc Watson (guitarist),Complications following colon surgery. ,"March 3, 1923","May 29, 2012",Legendary flat-picking guitarist who won many Grammys for best folk recording.  twitter  IMDb  Obituary  FindAGrave
Richard Dawson (actor/gameshow host),Rumor. Esophageal cancer. ,"November 20, 1932","June 2, 2012","Survey says dead. Leering Family Feud host, a Laugh-in and Hogan's Heroes regular.  twitter  IMDb  Obituary"
Kathryn Joosten (actress/psychiatric nurse),Lung cancer. ,"December 20, 1939","June 2, 2012","The West Wing, died not long after filming her character's death scene for the finale of Desperate Housewives.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Ray Bradbury (author/futurist),,"August 22, 1920","June 5, 2012","The Martian Chronicles and Fahrenheit 451, wrote the script for movies such as Moby Dick.  twitter  IMDb  Obituary Obituary  FindAGrave   AwardWeb"
Frank Cady (actor),Rumor. ,"September 8, 1915","June 8, 2012",Mr. Drucker on Green Acres.  twitter  IMDb  Obituary
Ann Rutherford (actress),Heart disease. ,"November 2, 1917","June 11, 2012","Carreen in Gone with the Wind, appeared in some Andy Hardy movies.  twitter  IMDb  Obituary"
Rodney King (man who begged us all to just get along),Drowning. ,"April 2, 1965","June 17, 2012","Man beaten by cops, cops found not guilty of police brutality, verdict sparked LA riots and Rodney asked people to ""just get along.""    twitter  IMDb  Obituary"
Lesley Brown (first),,circa 1947,"June 20, 2012",The first woman to successfully have a child from IVF (Louise Brown in 1978).  Obituary
LeRoy Neiman (artist),,"June 8, 1921","June 20, 2012","Painted for Playboy, many Olympics Games and illustrated many pop culture events of the '60s and '70s.  Home Page  twitter  IMDb  Obituary"
Nora Ephron (director/writer),Cancer. ,"May 19, 1941","June 26, 2012","Wrote Heartburn, a thinly-veiled account of her marriage to Carl Bernstein, went on to direct movies like Sleepless in Seattle.  Home Page  twitter  IBDB  IMDb  FindAGrave  Obituary"
Doris Singleton (actress),,"September 28, 1919","June 26, 2012",Frequent co-star of Lucille Ball in series including I Love Lucy.  twitter  IMDb  Obituary  FindAGrave
Don Grady (composer/actor),Cancer. ,"June 8, 1944","June 27, 2012","Robbie on My Three Sons, a Mouseketeer, older brother of Eight is Enough's Lani O'Grady, composed music for the Discovery Channel and for The Phil Donahue Show.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Richard Isay (psychiatrist/writer),Cancer. ,"December 13, 1934","June 28, 2012","Psychiatrist who fought institutionalized homophobia among psychoanalysts, wrote books including Becoming Gay.  twitter  IMDb  Obituary"
Andy Griffith (actor/singer),,"June 1, 1926","July 3, 2012","Opie's dad in the '60s, Matlock later.  twitter  IBDB  IMDb  Obituary"
Ernest Borgnine (actor),,"January 24, 1917","July 8, 2012","TV's McHale's Navy, Marty, appeared on ER episodes in his 90s, once married to Katy Jurado, and, very briefly, to Ethel Merman.  twitter  IBDB  IMDb  Obituary"
Richard D. Zanuck (movie mogul),Heart attack. ,"December 13, 1934","July 13, 2012","Producer of hits like The Sting, Driving Miss Daisy and Alice in Wonderland.  twitter  IMDb  Obituary  FindAGrave"
Celeste Holm (actress),,"April 29, 1919","July 15, 2012","Appeared in the Oscar Reunion segment 1998, Best Supporting Actress Oscar in 1947 for Gentleman's Agreement.  twitter  IBDB  IMDb  Obituary"
Kitty Wells (singer),,"August 30, 1919","July 16, 2012","""It Wasn't God Who Made Honky Tonk Angels.""  Home Page  twitter  IMDb  Obituary"
Simon Ward (actor),,"October 16, 1941","July 20, 2012","Young Winston, Zulu Dawn.  twitter  IBDB  IMDb  Obituary"
Sally Ride (astronaut/physicist),Pancreatic cancer. ,"May 26, 1951","July 23, 2012","In 1983, she was the first American woman in space.  Home Page  twitter  IMDb  Obituary"
Sherman Hemsley (actor),,"February 1, 1938","July 24, 2012",George on The Jeffersons.  Home Page  twitter  IMDb  Obituary
Chad Everett (actor),Lung cancer. ,"June 11, 1936","July 24, 2012",Starred in Medical Center  twitter  IMDb  Obituary
Geoffrey Hughes (actor),Prostate cancer. ,"February 2, 1944","July 27, 2012",Keeping Up Appearances and Coronation Street.  twitter  IMDb  Obituary
Tony Martin (singer/actor),,"December 25, 1913","July 27, 2012","Sang ""When I'm With You"" with Shirley Temple, first husband of Alice Faye, married to Cyd Charisse for over 60 years.  IMDb  Obituary"
Maeve Binchy (writer),,"May 28, 1940","July 30, 2012",Wrote Circle of Friends and Tara Road.  Home Page  twitter  IMDb  Obituary
